DATE,MAX_TEMPERATURE_C
09012013,19
10012013,20
11012013,21
12012013,19
13012013,18
14012013,18
15012013,18
16012013,18
17012013,18
18012013,22
19012013,18
20012013,16
21012013,16
22012013,16
23012013,18
24012013,18
25012013,16
26012013,20
27012013,19
28012013,19
29012013,24
30012013,25
31012013,24
01022013,23
02022013,20
03022013,16
04022013,19
05022013,21
06022013,18
07022013,16
08022013,16
09022013,16
10022013,18
11022013,15
12022013,13
13022013,17
14022013,20
15022013,23
16022013,21
17022013,21
18022013,21
19022013,15
20022013,18
21022013,20
22022013,21
23022013,17
24022013,16
25022013,17
26022013,17
27022013,19
28022013,14
01032013,17
02032013,19
03032013,21
04032013,20
05032013,19
06032013,18
07032013,22
08032013,21
09032013,20
10032013,19
11032013,18
12032013,19
13032013,16
14032013,16
15032013,20
16032013,25
17032013,23
18032013,21
19032013,21
20032013,18
21032013,25
22032013,21
23032013,15
24032013,17
25032013,19
26032013,22
27032013,20
28032013,19
29032013,23
30032013,24
31032013,21
01042013,18
02042013,22
03042013,19
04042013,19
05042013,17
06042013,17
07042013,19
08042013,20
09042013,20
10042013,22
11042013,22
12042013,21
13042013,22
14042013,23
15042013,23
16042013,26
17042013,28
18042013,28
19042013,26
20042013,29
21042013,26
22042013,24
23042013,23
24042013,25
25042013,22
26042013,24
27042013,22
28042013,17
29042013,18
30042013,19
01052013,20
02052013,20
03052013,22
04052013,23
05052013,24
06052013,26
07052013,29
08052013,28
09052013,28
10052013,27
11052013,24
12052013,25
13052013,27
14052013,24
15052013,20
16052013,19
17052013,21
18052013,20
19052013,20
20052013,22
21052013,20
22052013,22
23052013,24
24052013,23
25052013,23
26052013,22
27052013,20
28052013,20
29052013,20
30052013,21
31052013,23
01062013,26
02062013,28
03062013,28
04062013,26
05062013,23
06062013,22
07062013,23
08062013,22
09062013,22
10062013,23
11062013,24
12062013,26
13062013,27
14062013,27
15062013,28
16062013,27
17062013,23
18062013,22
19062013,23
20062013,24
21062013,26
22062013,29
23062013,31
24062013,34
25062013,33
26062013,34
27062013,32
28062013,29
29062013,33
30062013,33
01072013,30
02072013,27
03072013,29
04072013,32
05072013,33
06072013,33
07072013,36
08072013,36
09072013,35
10072013,33
11072013,31
12072013,28
13072013,29
14072013,28
15072013,28
16072013,29
17072013,29
18072013,29
19072013,27
20072013,26
21072013,26
22072013,28
23072013,28
24072013,29
25072013,29
26072013,28
27072013,26
28072013,27
29072013,28
30072013,33
31072013,35
01082013,32
02082013,27
03082013,29
04082013,31
05082013,30
06082013,30
07082013,29
08082013,29
09082013,33
10082013,36
11082013,37
12082013,37
13082013,34
14082013,33
15082013,32
16082013,33
17082013,32
18082013,33
19082013,36
20082013,36
21082013,34
22082013,32
23082013,35
24082013,31
25082013,31
26082013,30
27082013,29
28082013,28
29082013,29
30082013,30
31082013,32
01092013,33
02092013,32
03092013,36
04092013,34
05092013,30
06092013,28
07092013,28
08092013,26
09092013,30
10092013,31
11092013,31
12092013,29
13092013,28
14092013,29
15092013,29
16092013,30
17092013,29
18092013,27
19092013,29
20092013,30
21092013,35
22092013,36
23092013,28
24092013,29
25092013,28
26092013,30
27092013,31
28092013,26
29092013,28
30092013,30
01102013,31
02102013,30
03102013,30
04102013,27
05102013,27
06102013,29
07102013,29
08102013,30
09102013,31
10102013,32
11102013,29
12102013,27
13102013,26
14102013,27
15102013,27
16102013,28
17102013,31
18102013,29
19102013,29
20102013,26
21102013,31
22102013,28
23102013,29
24102013,30
25102013,28
26102013,24
27102013,27
28102013,30
29102013,24
30102013,22
31102013,24
01112013,25
02112013,30
03112013,29
04112013,26
05112013,24
06112013,25
07112013,24
08112013,23
09112013,22
10112013,23
11112013,26
12112013,29
13112013,27
14112013,24
15112013,24
16112013,19
17112013,18
18112013,19
19112013,21
20112013,23
21112013,22
22112013,19
23112013,22
24112013,19
25112013,20
26112013,22
27112013,23
28112013,21
29112013,20
30112013,21
01122013,20
02122013,22
03122013,24
04122013,22
05122013,24
06122013,26
07122013,23
08122013,23
09122013,24
10122013,23
11122013,24
12122013,23
13122013,20
14122013,19
15122013,24
16122013,23
17122013,21
18122013,22
19122013,21
20122013,16
21122013,17
22122013,20
23122013,21
24122013,22
25122013,18
26122013,21
27122013,24
28122013,17
29122013,16
30122013,19
31122013,19
01012014,22
02012014,21
03012014,24
04012014,21
05012014,21
06012014,24
07012014,25
08012014,27
09012014,26
10012014,24
11012014,20
12012014,22
13012014,20
14012014,19
15012014,22
16012014,18
17012014,19
18012014,15
19012014,15
20012014,18
21012014,18
22012014,17
23012014,15
24012014,18
25012014,19
26012014,20
27012014,21
28012014,19
29012014,15
30012014,13
31012014,13
01022014,19
02022014,18
03022014,19
04022014,20
05022014,21
06022014,22
07022014,20
08022014,20
09022014,23
10022014,16
11022014,18
12022014,21
13022014,23
14022014,25
15022014,21
16022014,16
17022014,17
18022014,17
19022014,18
20022014,20
21022014,20
22022014,19
23022014,24
24022014,18
25022014,18
26022014,19
27022014,18
28022014,20
01032014,20
02032014,20
03032014,19
04032014,18
05032014,19
06032014,22
07032014,27
08032014,29
09032014,23
10032014,24
11032014,20
12032014,18
13032014,19
14032014,19
15032014,21
16032014,24
17032014,26
18032014,24
19032014,24
20032014,19
21032014,20
22032014,21
23032014,19
24032014,20
25032014,20
26032014,20
27032014,21
28032014,15
29032014,16
30032014,18
31032014,24
01042014,26
02042014,16
03042014,16
04042014,20
05042014,23
06042014,26
07042014,32
08042014,35
09042014,32
10042014,31
11042014,29
12042014,25
13042014,27
14042014,28
15042014,25
16042014,23
17042014,25
18042014,24
19042014,23
20042014,25
21042014,22
22042014,23
23042014,23
24042014,23
25042014,22
26042014,24
27042014,25
28042014,26
29042014,25
30042014,27
01052014,27
02052014,28
03052014,29
04052014,30
05052014,30
06052014,28
07052014,27
08052014,27
09052014,28
10052014,28
11052014,29
12052014,32
13052014,32
14052014,37
15052014,32
16052014,29
17052014,26
18052014,27
19052014,27
20052014,24
21052014,22
22052014,24
23052014,23
24052014,23
25052014,23
26052014,23
27052014,23
28052014,26
29052014,26
30052014,26
31052014,26
01062014,26
02062014,28
03062014,28
04062014,27
05062014,30
06062014,25
07062014,26
08062014,26
09062014,26
10062014,25
11062014,28
12062014,33
13062014,36
14062014,35
15062014,31
16062014,29
17062014,28
18062014,26
19062014,26
20062014,26
21062014,27
22062014,27
23062014,29
24062014,25
25062014,28
26062014,27
27062014,28
28062014,29
29062014,28
30062014,30
01072014,28
02072014,25
03072014,27
04072014,25
05072014,25
06072014,26
07072014,27
08072014,29
09072014,31
10072014,33
11072014,32
12072014,31
13072014,31
14072014,31
15072014,32
16072014,34
17072014,32
18072014,30
19072014,29
20072014,28
21072014,31
22072014,32
23072014,30
24072014,29
25072014,28
26072014,28
27072014,28
28072014,29
29072014,30
30072014,30
31072014,29
01082014,29
02082014,28
03082014,29
04082014,28
05082014,31
06082014,31
07082014,31
08082014,31
09082014,30
10082014,30
11082014,30
12082014,30
13082014,30
14082014,30
15082014,32
16082014,31
17082014,34
18082014,32
19082014,30
20082014,31
21082014,31
22082014,28
23082014,30
24082014,30
25082014,32
26082014,32
27082014,35
28082014,34
29082014,31
30082014,30
31082014,30
01092014,31
02092014,30
03092014,30
04092014,30
05092014,32
06092014,32
07092014,31
08092014,31
09092014,30
10092014,32
11092014,32
12092014,32
13092014,31
14092014,31
15092014,33
16092014,31
17092014,30
18092014,28
19092014,30
20092014,30
21092014,30
22092014,27
23092014,29
24092014,29
25092014,28
26092014,27
27092014,28
28092014,28
29092014,27
30092014,29
01102014,31
02102014,34
03102014,32
04102014,30
05102014,29
06102014,24
07102014,28
08102014,29
09102014,30
10102014,30
11102014,30
12102014,24
13102014,27
14102014,25
15102014,28
16102014,29
17102014,31
18102014,31
19102014,34
20102014,34
21102014,34
22102014,33
23102014,35
24102014,32
25102014,29
26102014,31
27102014,31
28102014,33
29102014,28
30102014,32
31102014,31
01112014,31
02112014,26
03112014,25
04112014,23
05112014,20
06112014,25
07112014,24
08112014,24
09112014,21
10112014,23
11112014,23
12112014,24
13112014,26
14112014,23
15112014,22
16112014,20
17112014,21
18112014,26
19112014,30
20112014,28
21112014,26
22112014,26
23112014,24
24112014,23
25112014,23
26112014,24
27112014,20
28112014,18
29112014,19
30112014,16
01122014,22
02122014,20
03122014,19
04122014,19
05122014,20
06122014,18
07122014,18
08122014,19
09122014,21
10122014,20
11122014,21
12122014,22
13122014,23
14122014,16
15122014,18
16122014,18
17122014,20
18122014,22
19122014,21
20122014,23
21122014,23
22122014,23
23122014,22
24122014,22
25122014,20
26122014,20
27122014,20
28122014,21
29122014,19
30122014,19
31122014,23
01012015,20
02012015,22
03012015,24
04012015,23
05012015,21
06012015,19
07012015,17
08012015,19
09012015,22
10012015,23
11012015,21
12012015,24
13012015,24
14012015,19
15012015,22
16012015,16
17012015,17
18012015,17
19012015,14
20012015,17
21012015,13
22012015,14
23012015,17
24012015,18
25012015,17
26012015,20
27012015,21
28012015,22
29012015,20
30012015,21
31012015,17
01022015,14
02022015,17
03022015,19
04022015,14
05022015,14
06022015,15
07022015,16
08022015,16
09022015,18
10022015,18
11022015,20
12022015,17
13022015,16
14022015,19
15022015,20
16022015,18
17022015,14
18022015,18
19022015,19
